Id,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,QualSF,TotalBath,meanRmsSF
1,60,RL,4.189654742026425,9.042040056544483,NaN,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,3,PConc,3,No,GLQ,706,Unf,0,150,GasA,5,Y,SBrkr,854,0,1,0,1,3,1,Typ,0,4,Attchd,RFn,2,3,3,Y,0,61,0,0,0,NaN,NaN,0,2,2008,WD,Normal,12.24769911637256,9.796069365768835,3.5,5.369474560864365
2,20,RL,4.394449154672439,9.169622538697624,NaN,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,8,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,3,Gd,ALQ,978,Unf,0,284,GasA,5,Y,SBrkr,0,0,0,1,0,3,1,Typ,1,3,Attchd,RFn,2,3,3,Y,298,0,0,0,0,NaN,NaN,0,5,2007,WD,Normal,12.109016442313738,9.625425723461337,2.5,5.353436665769117
3,60,RL,4.23410650459726,9.328212292571072,NaN,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,5,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,3,PConc,3,Mn,GLQ,486,Unf,0,434,GasA,5,Y,SBrkr,866,0,1,0,1,3,1,Typ,1,3,Attchd,RFn,2,3,3,Y,0,42,0,0,0,NaN,NaN,0,9,2008,WD,Normal,12.317171167298682,9.849189749128278,3.5,5.699328124306821
4,70,RL,4.110873864173311,9.164401140034737,NaN,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,BrkTil,4,No,ALQ,216,Unf,0,540,GasA,4,Y,SBrkr,756,0,1,0,0,3,1,Typ,1,4,Detchd,Unf,3,3,3,Y,0,35,272,0,0,NaN,NaN,0,2,2006,WD,Abnorml,11.849404844423074,9.759155181646207,2.0,5.506492302168325
5,60,RL,4.442651256490317,9.565283817736766,NaN,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,3,PConc,3,Av,GLQ,655,Unf,0,490,GasA,5,Y,SBrkr,1053,0,1,0,1,4,1,Typ,1,3,Attchd,RFn,3,3,3,Y,192,84,0,0,0,NaN,NaN,0,12,2008,WD,Normal,12.429220196836383,10.19410281896535,3.5,5.502164828920517
6,50,RL,4.454347296253507,9.55506418479516,NaN,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,Wood,3,No,GLQ,732,Unf,0,64,GasA,5,Y,SBrkr,566,0,1,0,1,1,1,Typ,0,4,Attchd,Unf,2,3,3,Y,40,30,0,320,0,MnPrv,Shed,700,10,2009,WD,Normal,11.870606902224587,9.286467732363734,2.5,5.610935924289849
7,20,RL,4.330733340286331,9.218804450388312,NaN,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,3,PConc,3,Av,GLQ,1369,Unf,0,317,GasA,5,Y,SBrkr,0,0,1,0,0,3,1,Typ,1,4,Attchd,RFn,2,3,3,Y,255,57,0,0,0,NaN,NaN,0,8,2007,WD,Normal,12.634606283893019,10.205109511721595,3.0,5.493061443340548
8,60,RL,4.248495242049359,9.247925132303454,NaN,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,CBlock,3,Mn,ALQ,859,BLQ,32,216,GasA,5,Y,SBrkr,983,0,1,0,1,3,1,Typ,2,3,Attchd,RFn,2,3,3,Y,235,204,228,0,0,NaN,Shed,350,11,2009,WD,Normal,12.206077645517674,10.015922981865916,3.5,5.702352881846607
9,50,RM,3.9512437185814275,8.71948076085107,NaN,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,BrkTil,3,No,Unf,0,Unf,0,952,GasA,4,Y,FuseF,752,0,0,0,0,2,2,Min1,2,3,Detchd,Unf,2,2,3,Y,90,0,205,0,0,NaN,NaN,0,4,2008,WD,Abnorml,11.774527900858468,9.856553165346915,2.0,5.406050066350919
10,190,RL,3.9318256327243257,8.912069097970134,NaN,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,6,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,No,GLQ,851,Unf,0,140,GasA,5,Y,SBrkr,0,0,1,0,0,2,2,Typ,2,3,Attchd,RFn,1,4,3,Y,0,4,0,0,0,NaN,NaN,0,1,2008,WD,Normal,11.678448377988165,9.243871855184976,2.0,5.377128546972327
